SKU_number,MAE,RMSE,MAPE
2000000,15.558488892623211,21.0590294773304,44.85356353203419
2000001,14.059448294169338,16.49992445064435,32.6453709252204
2000002,13.283990190843694,14.953894764014773,35.17720205051334
2000003,15.165870534633848,20.214182956277725,42.925890564208856
2000004,15.303291440593355,16.81877459360491,49.21272384792777
2000005,13.604805685772833,18.141718471261523,55.34302063272135
2000006,8.95139774513546,10.389240491109565,23.025173408963585
2000007,17.645154780783212,21.583511950819027,52.6521621257431
2000008,21.50427693300048,26.481014072197166,55.99298914775832
2000009,10.256430939466787,15.313812812551399,33.32276227841031
2000010,12.393929973873005,14.858558459363238,27.527584017322
2000011,14.246733778623897,16.356170412589915,50.073686632839554
2000012,7.115207999836495,8.565444042274935,19.392671138142703
2000013,14.642363102704943,17.776265303638393,59.13147430393496
2000014,11.16353478752188,16.79023470574627,65.4563732331354
2000015,4.4581087446959575,5.191525050876519,10.419958470000006
2000016,17.323394823526048,19.57880627829465,41.19624804226376
2000017,12.067235877454193,14.484260115159906,34.737541348781576
2000018,10.871180532808154,11.96910193241876,32.70743702354332
2000019,10.874901839967535,13.47056744046153,38.51556756768122
2000020,14.64377196262114,17.378231749526428,32.13482417208269
2000021,25.323378179098423,30.47894061366755,107.5115387485541
2000022,7.765700178884779,8.005720403802158,22.886021901121588
2000023,17.442646074665387,20.86830761745601,33.14154821272965
2000024,11.324719719373954,14.269036712327592,33.03844035432395
2000025,16.360085446467792,19.14510504854589,72.57699952401441
2000026,14.504723721034162,17.132335534509004,41.34774507149913
2000027,16.681150424993245,18.73031981661054,44.38342032323151
2000028,16.94495594676144,21.985878047751022,29.554444890290643
2000029,17.29491148229736,22.164041479892497,38.68906506685734
2000030,16.775161109398134,19.383239133992568,57.598184947518085
2000031,12.558970976210745,15.22948189077583,24.443831886018287
2000032,9.451857425754008,10.96873251620647,24.4633393774315
2000033,13.820815440083791,14.213543083446707,45.77660757122694
2000034,9.100155977928875,10.50934071546975,28.11098194335475
2000035,14.303917977020163,18.77370316279848,56.60224389765753
2000036,10.965938902539728,12.569752232141932,28.67589599491504
2000037,18.378503536936673,20.14368257056997,38.82118321840333
2000038,14.75422689211596,17.512847617063862,32.98138611957487
2000039,12.100116051823102,14.232272201399798,22.588612061554358
2000040,21.481880671358862,23.210196344728313,54.34406585223365
2000041,15.960813141425618,20.25404110139052,29.2374219921633
2000042,12.608328342161796,14.828093832023695,33.771270653259585
2000043,16.427133458893667,18.566213590624354,59.39083795280246
2000044,14.244422210446663,15.782646286040674,33.29644086717916
2000045,8.226597103801394,10.015441487922619,20.83597385494569
2000046,9.80220615811889,11.518406378243725,21.151967827771266
2000047,18.226049653178865,18.973795215624907,41.785656034177144
2000048,13.723442886613972,18.65087337348049,22.56249251786184
2000049,17.220315611133113,18.946433070290684,64.6317517804535
2000050,13.922444911603336,16.13388586477013,43.58975208222288
2000051,11.103315713286458,13.917571671376823,24.35595889142229
2000052,16.707422244414374,17.654316961320355,46.18500592924467
2000053,13.628398921362717,15.891825046424731,27.387013896751615
2000054,17.562786818882156,20.504235726794874,47.9184078202553
2000055,26.706028738440597,31.098458742984644,67.48604571597305
2000056,13.522365196449556,19.111481877558223,27.34859107472435
2000057,11.405045248934842,12.284789363033234,32.245827402508404
2000058,21.75804330189352,26.10528057275216,45.68528338306515
2000059,14.947951730771473,17.06962598516641,39.81292358541693
2000060,9.266047603052652,10.897182279458415,26.429134400221947
2000061,14.037138916392708,15.925603545291906,37.39378700934089
2000062,10.999729633275118,15.237975115118852,21.957383823881827
2000063,15.948809801527508,21.49128266116621,32.552524124373576
2000064,16.433249207372594,19.30447114629797,42.96624070930428
2000065,10.599266980725822,15.837608947397573,20.313202628172778
2000066,7.884327540976122,10.58212933142626,24.541735678742537
2000067,13.62550181314578,16.30083340013933,38.02954912452062
2000068,11.919927846743478,14.418372104718628,25.79195670466078
2000069,10.118052550585928,11.74861371505,26.64785163028216
2000070,11.740209048451069,15.27078041578897,40.90388256151139
2000071,17.700006413152636,20.823095745229114,66.92169246022324
2000072,10.720166486394078,13.037163247891232,30.088359012708953
2000073,11.745386868026605,14.052002390982096,35.09219933065304
2000074,11.127593423634474,12.446425953521999,39.09079738362679
2000075,7.6904100180047825,11.03084299564969,28.707527361753353
2000076,14.306264084759846,16.408170479328977,51.62243126686352
2000077,12.598396714566244,13.9366602684976,42.93559152843174
2000078,8.659167961748905,10.52441022322946,22.632279893924544
2000079,15.131711357886678,18.05702791411685,46.21265141469051
2000080,11.534834684616394,15.409519266223187,42.20187444305268
2000081,14.19802503902263,17.33701196313017,26.174554759310737
2000082,12.541637586661542,13.7714339717342,29.921766482612995
2000083,8.02738075907092,9.794064186030289,20.811845886128634
2000084,4.512120062832717,4.929568782983882,10.873661929481699
2000085,17.690334068243878,20.866436418777322,73.9491668165984
2000086,7.384327699774207,10.559862397521755,16.21903257180882
2000087,12.578555328428763,15.047383600197376,40.74658391273615
2000088,6.936701178819821,8.269100164846975,20.66428733659329
2000089,15.886681960382532,19.409653884237667,30.43755601991004
2000090,10.35797080716503,13.062992784762635,25.32833614381457
2000091,12.656603922837624,13.855599580838295,26.551944302088497
2000092,15.183127522630164,19.402351389668244,34.91140639935945
2000093,13.240677174498396,16.469506509879423,36.77956946104292
2000094,8.386722168079423,8.860915135301124,18.584186999515772
2000095,13.539765524703393,14.552630522925973,37.303305288208406
2000096,13.52506499669707,14.78377728901493,39.259070971151495
2000097,11.98775804237563,13.604728107392654,30.76314557689543
2000098,16.59639568913304,19.343694965664834,76.778536546959
2000099,14.600362454241543,20.124656637306913,42.80955934797328
2000100,12.49444696859022,14.858663835827763,26.387962904189273
2000101,13.983494475828644,15.557594849691842,36.34428154787339
2000102,19.135068960799618,21.925813205865673,55.42409688074851
2000103,4.789425578556148,5.773358431342753,11.45767466629037
2000104,14.738865599843978,16.484150127929126,33.070227447345964
2000105,17.112650083134515,18.07111267199092,37.7524705639614
2000106,9.87914708541883,11.270243110459232,20.965290533442417
2000107,19.183001802450807,21.877476821230633,48.78663263462852
2000108,9.127125508405177,10.301568684232969,23.485966707732196
2000109,20.566597361534992,23.504435623991697,85.13915083094433
2000110,11.890441668274,13.111667859638247,34.703717527238716
2000111,8.650548599628536,11.806121127611364,26.66844519847047
2000112,16.768845328367867,23.616681479033815,30.160664739145744
2000113,14.571885701977848,17.56550164852362,55.53050850161115
2000114,8.220031122241926,10.386976620197865,18.228823522238955
2000115,17.122308057557944,18.666902090195116,43.55470158953372
2000116,15.997088466110355,20.904872191482003,37.910253856716956
2000117,12.470407272072473,17.255281620541474,22.61315855614746
2000118,12.512327633588962,15.081366062508499,37.64711031750827
2000119,9.75102738965627,10.426481901953194,29.914224823837937
2000120,20.056545817033328,22.85290712753357,39.01815679733513
2000121,16.38530251127962,18.61426031576642,115.89670494098694
2000122,9.711598017701933,13.06845664078656,22.950157853246314
2000123,16.720543256103515,18.500760081588233,35.910123773254085
2000124,15.36950369318419,17.500352349813895,30.806952704307143
2000125,7.391948255904939,9.31770741828644,25.26167695542874
2000126,9.45694978007065,11.133761426398573,22.460930003554903
2000127,19.016967713066325,22.17303179896492,48.00398808186585
2000128,9.258669071658987,10.246130413033425,27.01391596026132
2000129,9.925041597970047,13.215374400137987,24.75579249725216
2000130,15.15314745398072,19.383867219290497,51.891826706151235
2000131,9.326304223275306,12.302362868926876,17.910883786246778
2000132,7.435232687592671,10.400481805324347,33.24073068629769
2000133,14.512746385874808,16.605286088867775,33.78045979134794
2000134,22.095073483929397,32.16561141192946,37.68630651398715
2000135,13.28545026670657,19.939729399911894,45.4910518747089
2000136,13.715285446129934,15.231929008876264,38.33009560234786
2000137,9.12096092616806,11.418096883011343,28.298149573795673
2000138,9.237979135045064,10.400632235631637,20.131166556310617
2000139,7.143435734121527,8.655869430863651,18.067462220523442
2000140,7.467612213939237,8.294034256492528,22.637543511839688
2000141,13.764683296825368,15.21684949707499,37.3861554101757
2000142,14.970490941923286,19.54046897614358,30.51774744854826
2000143,5.5485220492907175,7.651629156673206,12.534881881729406
2000144,15.433779761991502,18.83628357283005,41.04115534178278
2000145,21.31458845622804,22.593181271993906,74.80858916237567
2000146,26.303262044300883,38.17126137686905,33.870492415625904
2000147,7.604592635805169,8.371316008111748,22.497747123809297
2000148,7.994738461954106,8.896485339025798,18.331457292286714
2000149,20.188443571938574,23.824665383889958,41.7869260547082
